id;nb_followers;engagement_rate;reach_estime;score_reach
1;20662;25721.94;10159.6;2752.71
2;20852;30988.78;22086.86;21164.73
3;16106;20484.86;26135.09;20232.7
4;28573;30015.43;18847.05;21446.33
5;13426;21908.23;28929.55;19909.1
6;6103;31720.47;30677.77;24500.53
7;15188;9346.9;4048.87;3885.09
8;14895;5756.75;29903.33;15362.47
9;11452;2191.34;26116.65;164.76
10;31220;6814.7;14547;2555.26
11;11851;2406.78;19946.84;12720.68
12;18800;21754.03;15561.27;6008.61
13;23253;10414.14;21754.43;28238.01
14;8342;14778.09;13799.88;2072.95
15;15293;8604.64;20778.93;5977.6
16;32326;14511.77;20157.89;16897.62
17;3728;5127.52;1354.82;31578.91
18;14553;1883.88;4659.51;24719.22
19;12921;3989.65;31403.57;19477.54
20;7232;6520.97;5055.05;22943.22
21;786;27808.09;18993.14;11792
22;13011;19559.93;15107.48;4980.69
23;18744;8693.73;4973.47;6385.63
24;15828;12595.09;20969.73;27146.04
25;9476;15447.74;30684.6;28820.2
26;16214;3231.71;2404.73;15440.93
27;10377;17002.95;17622.17;2967.64
28;28245;1944.01;32427.82;26998.45
29;26196;6279.48;23872.18;27333.47
30;28624;4975.57;19749.54;14686.44
