id;ratio_positif;ratio_negatif;ratio_neutre;score_sentiment
1;1553.92;12307.59;9667.19;12966.12
2;21040.63;18850.56;21150.95;8006.94
3;12616.38;11114.82;17160.2;11892.9
4;27940.56;12146.84;28685.86;30699.73
5;16049.18;22892.1;24850.85;1880.58
6;31567.87;14057.62;13146.5;22899.59
7;18994.89;11633.05;1385.87;28411.53
8;24252.04;19879.4;5048.26;6756.01
9;8728.49;7503.71;31082.93;19550.18
10;32394.94;16299.44;9147.33;5093.72
11;6649.27;817.05;26648.14;26458.06
12;6409.32;18766.79;8071.23;20958
13;4941.29;26137.27;12484.78;19412.4
14;30615.5;29148.83;26453.21;27404.22
15;21013.87;30009.29;3354.39;24517.47
16;16564.52;11812.16;9084.13;21161.56
17;10715.86;12536.34;25223.15;7212.96
18;19462.84;21107.97;29714.91;1132.63
19;21087.37;15604.76;19301.66;22591.04
20;5290.06;31509.17;27323.35;11645.23
21;26640.55;26196.88;17644.97;23308.93
22;19402.24;4332.11;26055.79;22888.9
23;12720.11;23346.09;1535.95;4326.5
24;16500.37;24760.44;8586.81;13359.63
25;11720.97;26901.4;3882.97;1313.62
26;19073.03;28322.95;29988.32;30961.54
27;9896.9;27771.54;3402.46;897.9
28;20791.3;19013.37;30781.25;22628.92
29;21899.44;20075.74;29115.17;10379.32
30;24690.66;27469.75;5992.37;21772.38
